,Qtde.,Compra,Venda,Dividendos,Corretagem,Total da transação,Day Trade,Data,,Parcial Vendas,Tributável,Imposto,,Inicial,Parcial trades,Em ações,Utilizável,Final,Lucro,Lucro (%)
PETR4,500,0,12.7,0,R$12.06,"R$6,337.94",R$0.00,2062015,Consolidado,"R$6,350.00",R$75.91,,,,,,,,,
VALE3,300,20.5,0,0,R$11.99,"-R$6,161.99",R$0.00,5062015,Consolidado,"R$6,350.00",R$75.91,,,,,,,,,
VALE3,300,0,21.1,0,R$12.05,"R$6,317.95",R$0.00,10062015,Consolidado,"R$12,680.00",R$231.87,,,,,,,,,
BBSE3,100,33.1,0,0,R$11.07,"-R$3,321.07",R$0.00,10062015,Consolidado,"R$12,680.00",R$231.87,,,,,,,,,
HGTX3,200,13,0,0,R$10.84,"-R$2,610.84",R$0.00,10062015,Consolidado,"R$12,680.00",R$231.87,,,,,,,,,
HGTX3,200,0,12,0,R$10.78,"R$2,389.22",R$0.00,17062015,Consolidado,"R$15,080.00",R$10.25,,,,,,,,,
VALE3,100,19.5,0,0,R$10.63,"-R$1,960.63",R$0.00,17062015,Consolidado,"R$15,080.00",R$10.25,,,,,,,,,
VALE3,100,0,20.5,0,R$10.66,"R$2,039.34",R$0.00,22062015,Consolidado,"R$17,130.00",R$88.96,,,,,,,,,
BBSE3,100,0,34.5,0,R$11.12,"R$3,438.88",R$0.00,22062015,Consolidado,"R$20,580.00",R$206.77,,,,,,,,,
CMIG4,400,13.2,0,0,R$11.71,"-R$5,291.71",R$0.00,22062015,Consolidado,"R$20,580.00",R$206.77,,,,,,,,,
CMIG4,400,0,13.6,0,R$11.76,"R$5,428.24",R$28.67,22062015,Consolidado,"R$26,020.00",R$206.77,,,,,,,,,
BBDC4,200,28.5,0,0,R$11.85,"-R$5,711.85",R$0.00,22062015,Consolidado,"R$26,020.00",R$206.77,,,,,,,,,
BBDC4,200,0,29.1,0,R$11.89,"R$5,808.11",R$0.00,26062015,Consolidado,"R$31,840.00",R$303.03,,,,,,,,,
CMIG4,500,11.9,0,0,R$11.93,"-R$5,961.93",R$0.00,26062015,Consolidado,"R$31,840.00",R$303.03,,,,,,,,,
CMIG4,500,0,11.85,0,R$11.92,"R$5,913.08",R$0.00,,,"R$37,765.00",R$254.18,R$66.80,,,,,,,,
